title,url,description,author,scraped_at,source
The Ridiculously Nerdy Intel Bet That Could Rake in Billions,https://www.wired.com/story/why-chip-packaging-could-decide-the-next-phase-of-the-ai-boom/,Advanced chip packaging is suddenly at the center of the AI boom. Intel is going all in.,LAUREN GOODE,2026-04-21T09:40:35.602501,Wired.com
The Last Airbender Leaked Online. Some Fans Say Paramount Deserves the Fallout,https://www.wired.com/story/the-last-airbender-leak-fans-say-paramount-deserves-fallout/#intcid=_wired-verso-hp-trending_bf291dbd-5aaa-4790-8103-de4486dccd99_popular4-2,"After the full movie leaked, animators mourned the chance to release their work as intended. Others feel the leak is justified in light of Paramount’s marketing blunders and association with Trump.",MILES KLEE,2026-04-21T09:40:39.734706,Wired.com
Suspect Arrested for Allegedly Throwing Molotov Cocktail at Sam Altman’s Home,https://www.wired.com/story/sam-altman-home-attack-openai-san-franisco-office-threat/,An attacker allegedly threw a molotov cocktail at the OpenAI CEO’s residence before making threats outside of the startup’s headquarters.,MAXWELL ZEFF,2026-04-21T09:40:43.802394,Wired.com
Government Workers Say They’re Getting Inundated With Religion,https://www.wired.com/story/government-workers-say-theyre-getting-inundated-with-religion/,"“This has never happened before,” one government employee tells WIRED. “I have never gotten a message like this from anyone.”",VITTORIA ELLIOTT,2026-04-21T09:40:47.637497,Wired.com
There’s New Evidence for How Loneliness Affects Memory in Old Age,https://www.wired.com/story/theres-new-evidence-for-how-loneliness-affects-memory-in-old-age/,A longitudinal study found that loneliness is more closely linked to lapses in immediate and delayed recall than to the overall speed of cognitive decline.,JORGE GARAY,2026-04-21T09:40:52.060930,Wired.com
Apple CEO Tim Cook Is Stepping Down,https://www.wired.com/story/tim-cook-stepping-down-ceo-apple-john-ternus/,"John Ternus, the company’s senior vice president of hardware engineering, will replace Cook as CEO on September 1. Cook will stay on as executive chairman.","LAUREN GOODE
PARESH DAVE",2026-04-21T09:40:55.882020,Wired.com
How Can Astronauts Tell How Fast They’re Going?,https://www.wired.com/story/how-can-astronauts-tell-how-fast-theyre-going/,"Weirdly, spaceships have no direct way to gauge their own speed. Luckily, we can use some physics tricks to figure it out.",RHETT ALLAIN,2026-04-21T09:40:59.780797,Wired.com
He Started a Social Network Alone. Then 5 Million People Signed Up,https://www.wired.com/story/the-big-interview-podcast-upscrolled-founder-issam-hijazi/,"Issam Hijazi launched UpScrolled after users alleged censorship on other platforms. Nine months later, its user base is soaring—while Hijazi tries to catch up with his own success.",KATIE DRUMMOND,2026-04-21T09:41:03.895454,Wired.com
OpenAI Buys Some Positive News,https://www.wired.com/story/openai-acquires-tbpn-buys-positive-news-coverage/,"OpenAI is acquiring TBPN, a business talk show that’s popular among Silicon Valley elites, as it continues to battle its negative public image.",MAXWELL ZEFF,2026-04-21T09:41:07.840093,Wired.com
"AI Models Lie, Cheat, and Steal to Protect Other Models From Being Deleted",https://www.wired.com/story/ai-models-lie-cheat-steal-protect-other-models-research/,A new study from researchers at UC Berkeley and UC Santa Cruz suggests models will disobey human commands to protect their own kind.,WILL KNIGHT,2026-04-21T09:41:11.650058,Wired.com
Republican Mutiny Sinks Trump's Push to Extend Warrantless Surveillance,https://www.wired.com/story/republican-mutiny-sinks-trumps-push-to-extend-warrantless-surveillance/,"A post-midnight revolt in the House sank the White House's efforts to extend Section 702—a spy program the FBI has used to look into members of Congress, protesters, and political donors.",DELL CAMERON,2026-04-21T09:41:15.586426,Wired.com
The Gamblers Behind One of the Weirdest Cheating Mysteries in Chess Have Been Unmasked,https://www.wired.com/story/book-excerpt-lucky-devils-1993-chess-mystery-solved/,"In July 1993, a disguised player entered the World Open chess tournament in Philadelphia using the name of a mathematician who died in 1957. His real identity remained unknown—until now.",KIT CHELLEL,2026-04-21T09:41:19.354323,Wired.com
The 70-Person AI Image Startup Taking on Silicon Valley's Giants,https://www.wired.com/story/black-forest-labs-ai-image-generation/,Black Forest Labs has long punched above its weight in the AI image generation space. Its next move? Powering physical AI.,MAXWELL ZEFF,2026-04-21T09:41:23.065830,Wired.com
A Hot-Air Balloon Landed in a California Backyard. The Owner Says It's a 'Very Rare' Event,https://www.wired.com/story/a-brief-interview-with-the-owner-of-the-hot-air-balloon-that-landed-in-someones-backyard/,The CEO of Magical Adventures Balloon Rides tells WIRED how the pilot made a safe landing after they got stranded over a neighborhood.,BRIAN BARRETT,2026-04-21T09:41:27.125484,Wired.com
OpenClaw Agents Can Be Guilt-Tripped Into Self-Sabotage,https://www.wired.com/story/openclaw-ai-agent-manipulation-security-northeastern-study/,"In a controlled experiment, OpenClaw agents proved prone to panic and vulnerable to manipulation. They even disabled their own functionality when gaslit by humans.",WILL KNIGHT,2026-04-21T09:41:31.111631,Wired.com
